id,original,simplified
1804,"Pero, a partir de entonces, ocurre una desmembración del imperio al mismo tiempo que un acrecentamiento del poder de los grandes señores, al grado de que el rey llegó a ser un noble más, a veces con autoridad inferior a la de los condes pues, aún cuando éstos teóricamente reconocían su jerarquía superior, en la realidad negaban su autoridad, llegándose al extremo de que un descendiente de Carlo Magno muriera en la prisión del conde de Vermandois.","Pero, a partir de entonces ocurre una desmembración del imperio al mismo tiempo que un acrecentamiento del poder de los grandes señores al grado de que el rey llegó a ser un noble más. / A veces con autoridad inferior a la de los condes pues aún cuando éstos reconocían su jerarquía, en la realidad negaban su autoridad y llegaban al extremo de que un descendiente de Carlo Magno muriera en la prisión del conde de Vermandois."
1805,"Al mismo tiempo, y a partir del siglo V, se observa una desaparición paulatina del comercio y de las grandes ciudades, que provocó un cambio en la economía, que se convierte en una economía de tipo rural; pero esta economía era de tipo rudimentario porque solamente se pretendía que el campo produjera lo necesario para el uso y consumo de sus propios habitantes, pues no había ya ciudades a las que hubiera que abastecer ni comerciantes que llevaran los productos de unas regiones a otras.","Al mismo tiempo, a partir del siglo quinto se observa una desaparición paulatina del comercio y de las grandes ciudades, que provocó un cambio en la economía al conviertirse en una de tipo rural. / Pero esta economía era de tipo rudimentario porque solamente se pretendía que el campo produjera lo necesario para el uso y consumo de sus propios habitantes, pues no había ciudades a las que hubiera que abastecer ni comerciantes que llevaran los productos de unas regiones a otras."
1806,"Como consecuencia de este proceso y de causas diversas, cuyo conocimiento no es muy preciso por falta de documentación sobre esa época, en el Siglo XI, aparece Europa dividida en grandes extensiones territoriales, sometidas al dominio de un gran señor teóricamente ligado al rey, pero en realidad actuando con independencia de él y aún enfrentándosele.","Como consecuencia de este proceso y de causas diversas que no son muy precisas por falta de documentación sobre esa época, en el Siglo once Europa se encuentra dividida en grandes extensiones territoriales sometidas al dominio de un gran señor teóricamente ligado al rey pero que en realidad actua con independencia de él y enfrentándosele."
1807,"Al lado de esos grandes dominios aparecían algunas pequeñas propiedades pertenecientes a algún señor independiente, propiedades que recibieron el nombre de alodios; pertenecían a su dueño en propiedad absoluta y de la que podía disponer libremente.",Al lado de esos grandes dominios aparecían pequeñas propiedades pertenecientes a algún señor independiente que recibieron el nombre de alodios. Pertenecían a su dueño en propiedad absoluta y de la que podía disponer libremente.
1808,"Dentro de las grandes propiedades había extensiones reservadas para la explotación directa por el señor, otras que se daban a los cortesanos a cambio del reconocimiento por parte de éstos, de un vasallaje , debiendo declarar al señor ﬁdelidad y lealtad, promesa que debían renovar cada vez que había un cambio de vasallo.","Dentro de las grandes propiedades había extensiones reservadas para la explotación directa por el señor, otras que se daban a los cortesanos a cambio del reconocimiento por parte de éstos. De un vasallaje que debía declarar al señor ﬁdelidad y lealtad y renovarse cada vez que había un cambio de vasallo."
1809,"Tanto los señores como los vasallos hacían trabajar sus tierras por los aldeanos, que a su vez estaban divididos en dos categorías: los ingenuiles u hombres libres, que no podían ser sometidos a trabajos serviles y los siervos, llamados de la gleba, que realizaban los trabajos viles y que eran sucesores de los esclavos de la antigüedad.","Tanto los señores como los vasallos hacían trabajar sus tierras por los aldeanos que a su vez estaban divididos en dos categorías: los ingenuiles u hombres libres. / Los homnres libre no podían ser sometidos a trabajos serviles, y los siervos llamados de la gleba realizaban los trabajos viles y eran sucesores de los esclavos de la antigüedad."
1810,"Los vasallos, con relaciones directas con el señor, tenían a su vez sus vasallos, y éstos los suyos, formándose así una cadena de relaciones que empezaba con el señor feudal y terminaba con los siervos.","Los vasallos con relaciones directas con el señor tenían a su vez sus vasallos, lo que formaba una cadena de relaciones que empezaba con el señor feudal y terminaba con los siervos."
1811,"Igualmente estaba obligado a dar consejo al señor en los negocios, concurriendo a las audiencias que para el efecto eran convocadas y que después sólo ocurría en Pascua, Pentecostés y Nochebuena.","Igualmente estaba obligado a dar consejo al señor en los negocios y presentarse a las audiencias que para ello eran convocadas y ocurridas en Pascua, Pentecostés y Nochebuena."
1812,Estas ayudas fueron primero arbitrarias y después se reglamentaron limitándolas y llegando posteriormente a convertirse en los subsidios que en épocas posteriores concedían los parlamentos a la corona.,Estas ayudas fueron primero arbitrarias y después se reglamentaron y limitaron para posteriormente convertirse en los subsidios que en épocas posteriores concedían los parlamentos a la corona.
1813,"A partir del Siglo XI el señor respetaba la transmisión, pero ejercía la tutela del menor y administraba el feudo, conservando los frutos recogidos durante su administración, y exigiendo a veces, después de la entrega de la herencia, cuando el heredero llegaba a la mayor edad, un año de renta.",A partir del Siglo once el señor respetaba la transmisión pero ejercía la tutela del menor y administraba el feudo al concservar los frutos recogidos durante su administración y exigia a veces un año de renta después de la entrega de la herencia cuando el heredero llegaba a la mayor edad.
1814,"La formariage o servidumbre matrimonial, era una cantidad que se pagaba por el siervo o sierva que se casaba con persona extraña al feudo, siendo esta cantidad normalmente muy elevada; en cambio, cuando se casaban dos personas del mismo feudo el censo era insigniﬁcante.","La formariage o servidumbre matrimonial era una cantidad que se pagaba por el siervo o sierva que se casaba con persona extraña al feudo y esta cantidad era normalmente muy elevada. En cambio, cuando se casaban dos personas del mismo feudo el censo era insigniﬁcante."
1815,"Los colaterales no tenían derecho a heredar, y si el señor autorizaba que percibieran la herencia, debían pagar un crecido rescate, a lo que se llamaba “derecho de relieve”.","Los colaterales no tenían derecho a heredar, y si el señor autorizaba que percibieran la herencia debían pagar un crecido rescate que se llamaba derecho de relieve."
1816,El pecho o talla era una talla o una carga impuesta una o varias veces al año a cada familia.,El pecho o talla era una carga impuesta una o varias veces al año a cada familia.
1817,"Primeramente fue arbitrario y posteriormente se logró que se ﬁjara con cierta regularidad, cobrándose también, en casos extraordinarios, otros cuatro que igualmente se cobraban en la época y que ya se mencionaron, como son: casamiento de la hija del señor feudal, la armada como caballero del hijo, el rescate del señor y el equipo para las Cruzadas.","Primero fue arbitrario y posteriormente se logró que se ﬁjara con cierta regularidad junto con los otros cuatro que ya se mencionaron y son: casamiento de la hija del señor feudal, la armada como caballero del hijo, el rescate del señor y el equipo para las Cruzadas."
1818,"Sin embargo, y como antes lo insinuamos, si se analizan estos derechos o impuestos feudales, encontraremos el origen de diversos impuestos que existen en nuestros países en la actualidad, aun cuando muchas de las ayudas otorgadas por los vasallos a su señor, fueron reglamentándose poco a poco y llegaron a convertirse, por ejemplo, en los subsidios que en casos extraordinarios concede el Parlamento a la Corona Inglesa.","Sin embargo, si se analizan estos derechos o impuestos feudales encontraremos el origen de diversos impuestos que existen en nuestros países en la actualidad.  / Aunque muchas de las ayudas otorgadas por los vasallos a su señor se reglamentaron y convertieron en los subsidios que concede el Parlamento a la Corona Inglesa de forma extraordinaria."
1819,"Los derechos de peaje fueron desapareciendo y solamente han subsistido, transformados en impuestos de importación o de exportación, gravando la entrada o salida de los productos de un país, teniendo más que una ﬁnalidad de carácter ﬁscal, una ﬁnalidad proteccionista.",Los derechos de peaje desaparecieron y han subsistido como impuestos de importación o de exportación y gravan la entrada o salida de los productos de un país como una ﬁnalidad proteccionista que una ﬁnalidad de carácter ﬁscal.
1820,"Los servicios de carácter personal, por otra parte, se fueron sustituyendo, con el transcurso del tiempo, por prestaciones en dinero, originándose diversos impuestos.",Los servicios de carácter personal se sustituyeron con el transcurso del tiempo por prestaciones en dinero lo que originó diversos impuestos.
1821,"La talla o pecho se convirtió en el impuesto de la propiedad territorial, conservando todavía en tiempo de la Revolución Francesa, a pesar de la transformación que había sufrido, el nombre de talla.","La talla o pecho se convirtió en el impuesto de la propiedad territorial y se conserva el nombre de talla todavía en tiempo de la Revolución Francesa a pesar de la transformación que había sufrido,."
1822,"De esta manera podríamos seguir haciendo el análisis sobre otros impuestos, pero con lo revisado consideramos que es suﬁciente para tener la visión que nos propusimos.",De esta manera podríamos seguir con el análisis sobre otros impuestos pero con lo revisado es suﬁciente para tener la visión que nos propusimos.
1823,"Esto puede ser visto como algo bueno en sí mismo o puede ser hecho por razones pragmáticas, ya que requiere menores registros y complejidad para personas con menores negocios.","Esto puede ser visto como algo bueno o puede ser hecho por razones pragmáticas, ya que requiere menos registros y complejidad para personas con negocios menores."
1824,"Dentro de éstos se encuentran los impuestos al valor agregado (IVA, impuesto al consumo de personas y empresas) y los impuestos especiales a gasolinas, alcoholes y tabacos.","Dentro de éstos se encuentran los impuestos al valor agregado como el impuesto sobre el valor añadido, el impuesto al consumo de personas y empresas, y los impuestos especiales a gasolinas, alcoholes y tabacos."
1825,"Estos últimos suelen llamarse Impuestos Internos en algunos países e incluso llegan a gravar artículos denominados “suntuosos”, como por ejemplo, joyas, pieles naturales y otros.","Estos últimos suelen llamarse Impuestos Internos en algunos países e incluso llegan a gravar artículos denominados suntuosos, como joyas, pieles naturales y otros."
1826,"La alternativa al impuesto Ad Valorem es un impuesto de tasa ﬁja, donde la base es la cantidad de algo, sin importar su precio, por ejemplo, en el Reino Unido un impuesto es recaudado sobre la venta de bebidas alcohólicas y es calculado sobre la cantidad de alcohol vendido en vez del precio de la bebida.","La alternativa al impuesto Ad Valorem es un impuesto de tasa ﬁja donde la base es la cantidad de algo sin importar su precio. / Por ejemplo, en el Reino Unido un impuesto es recaudado sobre la venta de bebidas alcohólicas y es calculado sobre la cantidad de alcohol vendido en vez del precio de la bebida."
1827,"Los impuestos, deberían saberlo todas las personas pero, lamentablemente sobre esto hay mucha ignorancia, son un componente esencial de toda sociedad organizada que hay que manejar con mucho cuidado porque como dice Rubio: “La vida en sociedad cuesta: desde la construcción de infraestructura hasta el cuidado de las fronteras de una nación.","Sobre los impuestos deberían saber todas las personas pero hay mucha ignorancia. Son un componente esencial de toda sociedad organizada que hay que manejar con mucho cuidado porque como afirma Rubio: La vida en sociedad cuesta, desde la construcción de infraestructura hasta el cuidado de las fronteras de una nación."
1828,"A lo largo de la historia, todos los especialistas en impuestos se han preocupado por tratar de responder a la pregunta de cómo recaudar impuestos sin distorsionar la creación de la riqueza y como en sentido estricto esto es imposible, el objetivo se ha centrado en cómo recaudar distorsionando lo menos posible.","A lo largo de la historia, muchos especialistas en impuestos se han preocupado por responder a la pregunta de cómo recaudar impuestos sin distorsionar la creación de la riqueza, y ya que en sentido estricto esto es imposible el objetivo se ha centrado en cómo recaudar sin distorcionar."
1829,"Por ejemplo, si un electricista decide no realizar una instalación más porque eso le llevaría a cambiar de estrato ﬁscal o bracket (los rangos de ingreso a partir de los cuales se calcula la tasa de impuesto) el impuesto estaría causando una distorsión en su proceso de toma de decisiones, desincentivando el trabajo y, por lo tanto, la producción, el empleo y la creación de riqueza.","Por ejemplo, si un electricista decide no realizar una instalación más porque eso le llevaría a cambiar de estrato ﬁscal o bracket, como llaman a los rangos de ingreso a partir de los cuales se calcula la tasa de impuesto. El impuesto causaría una distorsión en su proceso de toma de decisiones, lo que desincentivaría el trabajo y la producción, el empleo y la creación de riqueza."
1830,"Los impuestos son un compromiso de todos: gobernantes y gobernados, para mantener la simbiosis del Estado y sus circunstancias con la población y así garantizar una vida de desarrollo y dignidad de todas las personas que forman parte de aquél.","Los impuestos son un compromiso de todos para mantener la simbiosis del Estado y sus circunstancias con la población, y así garantizar una vida de desarrollo y dignidad de todas las personas que forman parte de aquél."
1831,"Obviamente también pesa sobre los dineros en bolsillos o cuentas, siendo ésta la percepción concreta, inmediata y directa de cualquier contribuyente en el ambiente cotidiano, cuando unos pasan trabajo para poder pagar los impuestos, otros trabajan y además pagan y otros intentan no cumplir con los pagos.","Obviamente también pesa sobre los dineros en cuentas y esta es la percepción concreta, inmediata y directa de cualquier contribuyente en el ambiente cotidiano, cuando unos trabajan para poder pagar los impuestos y otros intentan no cumplir con los pagos."
1832,"Se trata sólo de una entre las tantas razones perentorias atadas al trabajo, a la producción y sobre todo a la vida ciudadana de las sociedades y los estados de hoy en día, pues los impuestos, además de esta dimensión material, tienen otros alcances existenciales y políticos” y, por estas circunstancias, se torna más enfática la necesidad cuidadosa de la equidad y el respeto del contribuyente por parte del Estado, especialmente cuando hay tendencia a la sobrecarga tributaria, producto a veces de arreglos políticos espurios, no muy claros por consiguiente, entre los gobernantes y otros grupos que conllevan especiales intereses y, también a veces, por la insensatez en el manejo de la economía del país.","Se trata de una entre las tantas razones perentorias atadas al trabajo, a la producción y sobre todo a la vida ciudadana de las sociedades y los estados de hoy. / Pues los impuestos, además de esta dimensión material tienen otros alcances existenciales y políticos, y por estas circunstancias se torna más enfática la necesidad de la equidad y el respeto del contribuyente por parte del Estado. / Especialmente cuando hay tendencia a la sobrecarga tributaria debido a arreglos políticos ilegítimos entre los gobernantes y otros grupos que conllevan especiales intereses. Y también a veces por la insensatez en el manejo de la economía del país."
1833,"Por las circunstancias señaladas y otras no analizadas aquí, es que los impuestos deben percibirse como un deber cívico o ciudadano, “…como un medio y no como un ﬁn en sí mismo”, acotando el mismo Rubio que: “Hasta ahora, en la mentalidad de muchos de nuestros gobernantes ha dominado la noción de que los impuestos son, como el diezmo, una obligación sin más, sin la menor consideración.","Por las circunstancias señaladas es que los impuestos deben percibirse como un deber cívico o ciudadano, como un medio y no como un ﬁn en sí mismo. Acota Rubio que hasta ahora en la mentalidad de muchos de nuestros gobernantes ha dominado la noción de que los impuestos son una obligación sin más, sin la menor consideración."
1834,"Mientras esa concepción no cambie, mientras la ciudadanía no logre convertirse en una contraparte aceptada por los gobernantes, los ciudadanos seguirán haciendo como que pagan y el gobierno como que gobierna.","Mientras la ciudadanía no logre convertirse en una contraparte aceptada por los gobernantes, los ciudadanos simularán que pagan y el gobierno que gobierna."
1835,"Los Estados, en términos concretos, determinan, legislan y recaudan impuestos, nos dice una página de Internet, para:","Los Estados determinan, legislan y recaudan impuestos para:"
1836,"Para llevar a cabo funciones del Estado, tales como la defensa nacional, y proveer servicios del gobierno.",Para llevar a cabo funciones del Estado como la defensa nacional y proveer servicios del gobierno.
1837,"A la altura de estas consideraciones, como dice Adams, debe estar claro que los impuestos constituyen un excelente barómetro del orden social.",A la altura de estas consideraciones debe estar claro que los impuestos constituyen un excelente barómetro del orden social.
1838,"Como se percibe de muchos de los aspectos aquí tratados, indican que en el marco de los Impuestos y todas sus implicaciones se impone una racionalidad y una Ética, que tiene que ver con el Estado y sus gobernantes al determinarlos y legislarlos y, desde luego, también, con los ciudadanos al responder por ellos.",Muchos de los aspectos aquí tratados indican que en el marco de los Impuestos y todas sus implicaciones se impone una racionalidad y una Ética relacionada con el Estado y sus gobernantes al determinarlos y legislarlos. / Y desde luego también con los ciudadanos al responder por ellos.
1839,"Financiar los gastos del gobierno: A través de las décadas, el propósito primordial de la tributación ha sido el de producir suﬁcientes ingresos para ﬁnanciar el costo de los servicios que se esperan de las distintas ramas del gobierno.",Financiar los gastos del gobierno: el propósito primordial de la tributación es producir suﬁcientes ingresos para ﬁnanciar el costo de los servicios de las distintas ramas del gobierno.
1840,"Por otra parte, durante un periodo de inactividad económica, cuando la baja de los ingresos ﬁscales amenazara causar un déﬁcit, se esperaba que el gobierno apretara su cinturón económico y redujera sus gastos.","Por otra parte, cuando la baja de los ingresos ﬁscales amenazara causar un déﬁcit durante un periodo de inactividad económica, se esperaba que el gobierno redujera sus gastos."
1841,"Características de un buen impuesto: Para que un sistema impositivo pueda ser considerado como bien diseñado debe reunir, entre otras, las siguientes principales características:",Características de un buen impuesto: para que un sistema impositivo pueda ser considerado como bien diseñado debe reunir las siguientes principales características:
1842,"Equidad o justicia de la tributación: ¿Qué es un impuesto justo o equitativo?, es una pregunta que con frecuencia se formulan muchas personas, de allí que varias veces se ha tratado de establecer normas para distribuir el gravamen ﬁscal imparcialmente.",Equidad o justicia de la tributación: ¿Qué es un impuesto justo o equitativo? Es una pregunta que con frecuencia se formulan muchas personas por lo que se ha tratado de establecer normas para distribuir el gravamen ﬁscal imparcialmente.
1843,"Se alega que otras clases de servicios, tales como la construcción y mantenimiento de las carreteras y escuelas, deben ser pagados por cargos al usuario, a aquellos individuos que usan tales servicios.",Se alega que otras clases de servicios como la construcción y mantenimiento de las carreteras y escuelas deben ser pagados por cargos al usuario a aquellos individuos que usan tales servicios.
1844,"¿Cómo, por ejemplo, se podrían distribuir los costos para la protección de las personas y las propiedades entre todos los individuos?",Por ejemplo ¿Cómo se podrían distribuir los costos para la protección de las personas y las propiedades entre todos los individuos?
1845,"La teoría de la tributación, sobre los beneﬁcios recibidos, sostiene que las personas deben contribuir en proporción a los beneﬁcios recibidos de los servicios del gobierno.",Sobre los beneﬁcios recibidos la teoría de la tributación sostiene que las personas deben contribuir en proporción a los beneﬁcios recibidos de los servicios del gobierno.
1846,"Los impuestos sobre la gasolina y el licor, así como las licencias para automóviles o vehículos en general se basan hasta cierto punto, en la teoría de los beneﬁcios recibidos.","Los impuestos sobre la gasolina, el licor y las licencias para vehículos se basan en la teoría de los beneﬁcios recibidos."
1847,¿Deben usarse las normas de proporción basando el impuesto en algo así como los bienes raíces o sobre los ingresos? o ¿debe diseñarse el impuesto de tal manera que resulte en el mismo sacriﬁcio para los contribuyentes?,¿Deben usarse las normas de proporción basando el impuesto en los bienes raíces o sobre los ingresos? o ¿debe diseñarse el impuesto de manera que resulte en el mismo sacriﬁcio para los contribuyentes?
1848,"La doctrina sobre igualdad de sacriﬁcio en la tributación se basa en el concepto de utilidad marginal decreciente del ingreso: cuando el ingreso es bajo, la satisfacción marginal por un dólar, por ejemplo, es mayor que cuando el ingreso es grande.","La doctrina sobre igualdad de sacriﬁcio en la tributación se basa en el concepto de utilidad marginal decreciente del ingreso. Por ejemplo, cuando el ingreso es bajo la satisfacción marginal por un dólar es mayor que cuando el ingreso es grande."
1849,"La mayoría de las personas probablemente estarían de acuerdo en que un impuesto proporcional del 10 por ciento sobre sus ingresos causaría mucho más daño a la familia de ingresos bajos que a la familia de ingresos más altos, puesto que esta ya está viviendo más cerca del nivel de subsistencia.","La mayoría de las personas probablemente estarían de acuerdo en que un impuesto proporcional del diez por ciento sobre sus ingresos causaría mucho más daño a la familia de ingresos bajos que a la familia de ingresos más altos, puesto que esta ya vive más cerca del nivel de subsistencia."
1850,"Sin embargo, existe una gran diﬁcultad para determinar los beneﬁcios que recibe cada uno; es decir, los beneﬁcios son difíciles de contabilizar y, por lo tanto, es difícil imponer impuestos a tales personas, empresas u organizaciones.","Sin embargo, existe una gran diﬁcultad para determinar los beneﬁcios que recibe cada uno. Es decir, los beneﬁcios son difíciles de contabilizar y por lo tanto es difícil imponer impuestos a tales personas, empresas u organizaciones."
1851,"Por lo tanto, agrega el mismo Adams, ya citado: “- Los impuestos no deben afectar la eﬁciencia en el uso de los recursos;es decir, no deben hacer que una persona trabaje menos o no utilice su capital en la producción.","Por lo tanto, agrega Adams que los impuestos no deben afectar la eﬁciencia en el uso de los recursos. Es decir, no deben hacer que una persona trabaje menos o no utilice su capital en la producción."
1852,"La educabilidad en los Impuestos:: Aún cuando el tema de los impuestos a que están obligadas las personas, las empresas y las organizaciones, es un tema común y de la cotidianidad con que todos nos familiarizamos en los hogares desde cuando estamos pequeños, esto no es suﬁciente para que todas las personas tengan presente dicha obligatoriedad y prácticamente deber cívico y patriótico, en cuya práctica, como dijera Caramés, “…está condensada buena parte de lo que es la ciudadanía.","La educabilidad en los Impuestos. Aunque el tema de los impuestos es un tema común y de la cotidianidad con el que nos familiarizamos en los hogares desde cuando estamos pequeños, esto no es suﬁciente para que las personas tengan presente dicha obligatoriedad y deber cívico. / Práctica en la que está condensada buena parte de lo que es la ciudadanía como dice Caramés"
1853,"Ante tal circunstancia, es indispensable que las instituciones educativas en todos los niveles, en sus propuestas curriculares tengan presentes que todas las personas deben ser educadas en el ámbito de los impuestos o de la tributación en dos dimensiones: primero, como ciudadanos que son parte simbiótica de un país o Estado, por cuya subsistencia, salud y desarrollo son también responsables, en conjunto con los gobernantes y todas las fuerzas vivas del país; segundo, como personas responsables de su seguridad ﬁnanciera y la de sus familias, que deben ver en los impuestos un desafío y una obligación que genera un egreso permanente, el cual debe ser sustituido por nuevos ingresos para mantener el equilibrio digno de la subsistencia.","Ante tal circunstancia, es indispensable que las instituciones educativas en sus propuestas curriculares tengan presente que las personas deben ser educadas en el ámbito de los impuestos o de la tributación en dos dimensiones. / Primero, como ciudadanos son parte simbiótica de un país o Estado, por cuya subsistencia, salud y desarrollo también responsables en conjunto con los gobernantes y todas las fuerzas vivas del país. / Segundo, como personas responsables de su seguridad ﬁnanciera y la de sus familias, que deben ver en los impuestos un desafío y una obligación que genera un egreso permanente, el cual debe ser sustituido por nuevos ingresos para mantener el equilibrio digno de la subsistencia."
1854,"De hecho, un gobierno que actúa de esta manera perdería, bajo el principio del “Gran privilegio” el derecho a gobernar, y sería lo que nosotros hemos llamado un esposo inﬁel.","De hecho, un gobierno que actúa de esta manera perdería el derecho a gobernar bajo el principio del Gran privilegio."
1855,"La ética de la política ﬁscal de una sociedad debe desarrollarse, entonces, a partir de dos principios morales: en primer lugar, el primer deber de todo gobierno es desarrollar un sistema ﬁscal justo y recto: justo en la manera en que se recaudan y administran los impuestos, y recto en la manera en que los ingresos ﬁscales son administrados y gastados.","La ética de la política ﬁscal de una sociedad debe desarrollarse a partir de dos principios morales: en primer lugar, desarrollar un sistema ﬁscal justo en la manera en que se recaudan y administran los impuestos, y recto en la manera en que los ingresos ﬁscales son administrados y gastados."
1856,"Muchos autores se han ocupado a través de la historia de la dimensión moral de los impuestos o de la tributación, sin embargo hay dos de ellos cuyos principios son muy estimados y siguen teniendo gran vigencia, ellos son Adam Smith (1723-1790) y Alexis de Tocqueville (1805-1859).","Muchos autores se han ocupado de la dimensión moral de los impuestos o de la tributación. Sin embargo, hay dos de ellos cuyos principios son muy estimados y siguen teniendo vigencia: Adam Smith (1723-1790) y Alexis de Tocqueville (1805-1859)."
1857,"En Smith, señala Méndez, es recuperable “…un texto clave que ha pasado a la historia del pensamiento occidental como las cuatro máximas para la comprensión de los tributos en general y del caso inglés en particular.","Según señala Méndez, en Smith es recuperable un texto clave que ha pasado a la historia del pensamiento occidental como las cuatro máximas para la comprensión de los tributos en general y del caso inglés en particular."
1858,"En la principal obra de Tocqueville, los principios de sistematización son la igualdad en su dimensión normativa y social, y el principio de asociación en cuanto a la vida en sociedad, ambos conexos con las manifestaciones singulares que él detecta y sigue de manera acuciosa en la tradición norteamericana que tan cerca conoció.","En la principal obra de Tocqueville los principios de sistematización son la igualdad en su dimensión normativa y social, y el principio de asociación en cuanto a la vida en sociedad. Ambos conexos con las manifestaciones singulares que él detecta en la tradición norteamericana que tan cerca conoció."
1859,"Siguiendo a la misma autora que hemos citado, traemos enseguida dos cuadros que resumen el pensamiento de los aludidos autores en cuanto a la moral y los impuestos, ya que los consideramos supremamente ilustrativos para incentivar el pensamiento y la reﬂexión necesaria sobre tan importante tema.","De a cuerdo con la misma autora, traemos enseguida dos cuadros que resumen el pensamiento de los aludidos autores en cuanto a la moral y los impuestos ya que los consideramos ilustrativos para incentivar el pensamiento y la reﬂexión necesaria sobre el tema."
1860,"En una pequeña república, el pueblo abriga entera conﬁanza en sus magistrados y está convencido de la necesidad que tiene todo vasallo de mantener el Estado, creyendo al mismo tiempo que se invierte ﬁelmente para el ﬁn a que se destina, puede veriﬁcarse un pago sincero y voluntario.","En una pequeña república el pueblo abriga entera conﬁanza en sus magistrados y está convencido de la necesidad que tiene todo vasallo de mantener el Estado Cree al mismo tiempo que se invierte ﬁelmente para el ﬁn a que se destina, puede veriﬁcarse un pago sincero y voluntario."
1861,"Conocer de ﬁnanzas, al menos en un nivel del ciudadano común es, como varias veces se ha dicho en las páginas anteriores, uno de los propósitos de este libro.","Conocer de ﬁnanzas, al menos en un nivel del ciudadano común es uno de los propósitos de este libro."
1862,"Sin embargo, la comprensión y manejo de las ﬁnanzas, incluso las personales o familiares, se ha ido haciendo cada vez más complejo hasta tal punto de ir constituyendo una disciplina a la cual se dedican profesionales en Economía, Contaduría y en Finanzas propiamente dichas, lo cual no impide que usted y cualquier ciudadano tenga al menos un conocimiento básico general que le permita comprender, por una parte, los principales fenómenos de aquélla y, por la otra, tomar algunas decisiones cuando le sea necesario.","Sin embargo, la comprensión y manejo de las ﬁnanzas se ha complejizado hasta constituir una disciplina a la cual se dedican profesionales en Economía, Contaduría y en Finanzas. / Lo que no impide que usted y cualquier ciudadano tenga al menos un conocimiento básico general que le permita comprender los principales fenómenos de esta y tomar algunas decisiones cuando le sea necesario."
1863,"Todas las personas seguramente, en condiciones normales y en aras de lograr su seguridad ﬁnanciera, esperarían tener en la vida algunos excedentes que les permitiera hacer algunas inversiones, sin embargo, una preocupación y una pregunta para las cuales esperarían tener alguna respuesta es: ¿qué seguridad tendrían o que seguridad podrían esperar, cuando en calidad de inversión o de cualquier otra transacción, tengan relación con alguna institución del sistema ﬁnanciero, especialmente con los bancos de su país o incluso internacionales?","Todas las personas en condiciones normales y con el fin de lograr su seguridad ﬁnanciera esperarían tener excedentes que les permitiera hacer inversiones./ Sin embargo, una preocupación es: ¿qué seguridad tendrían o podrían esperar cuando en calidad de inversión o de cualquier otra transacción tengan relación con alguna institución del sistema ﬁnanciero, especialmente con los bancos de su país o incluso internacionales?"
1864,"Esto último es importante valorarlo también porque los mercados ﬁnancieros han evolucionado rápidamente en todo el mundo en las últimas décadas y, desde luego, en América Latina y a ello han contribuido la globalización, los tratados de libre comercio, las tecnologías de la comunicación y la información y también especíﬁcamente “…a que los tipos de interés se han liberalizado, se ha reducido las restricciones a la movilidad del capital y se han adoptado regulaciones prudenciales y otros estándares.","Esto último es importante valorarlo porque los mercados ﬁnancieros han evolucionado rápidamente en todo el mundo y en América Latina, y a ello han contribuido la globalización, los tratados de libre comercio, las tecnologías de la comunicación y la información. / También, los tipos de interés se han liberalizado, se ha reducido las restricciones a la movilidad del capital y se han adoptado regulaciones prudenciales y otros estándares."
1865,"A este respecto Castañeda dice que: “Entrada la década de los ochenta, llamada la década pérdida de América Latina, muchos bancos norteamericanos poseían excedentes en dólares, llamados comúnmente paradólares, para ser colocados fuera de su país.","A este respecto Castañeda dice que entrada la década de los ochenta conocida como la década pérdida de América Latina, muchos bancos norteamericanos poseían excedentes en dólares para ser colocados fuera de su país."
1866,"Simultáneamente a esto, la banca europea también prestaba para proyectos en la región, pero fueron más conservadores y desde mediados de los años ochenta se aglomeraron los más importantes bancos de Europa occidental para crear desde la ciudad de Basilea, Suiza, las primeras normas para fortalecer cualquier institución ﬁnanciera.",Simultáneamente a esto la banca europea prestaba para proyectos en la región pero fueron más conservadores. / Desde mediados de los años ochenta en la ciudad de Basilea en Suiza se aglomeraron los más importantes bancos de Europa occidental para crear las primeras normas a fin de fortalecer cualquier institución ﬁnanciera.
1867,"Ya en diciembre de 1974, los gobernadores del G-10 (de los diez grandes bancos centrales europeos) crearon el Comité de Supervisión Bancaria de Basilea con el ﬁn de mejorar colaboración entre las autoridades de supervisión bancaria”.","Ya en diciembre de mil novecientos setenta y cuatro, los gobernadores de los diez grandes bancos centrales europeos crearon el Comité de Supervisión Bancaria de Basilea con el ﬁn de mejorar colaboración entre las autoridades de supervisión bancaria"
1868,"Coordina la distribución de las competencias supervisoras entre las autoridades nacionales, con el ﬁn de garantizar una supervisión eﬁcaz de las actividades bancarias, y con el paso del tiempo, sus normas de supervisión transfronteriza se ha convertido en un referente en todo el mundo”.","Coordina la distribución de las competencias supervisoras entre las autoridades nacionales con el ﬁn de garantizar una supervisión eﬁcaz de las actividades bancarias, y sus normas de supervisión transfronteriza se ha convertido en un referente en todo el mundo."
1869,"Después señala también que: “Las pautas recogidas en el I Acuerdo de Basilea, o sea Basilea I de 1988, de adecuación de capital para la banca son de enorme importancia.",Después señala también que las pautas de adecuación de capital para la banca recogidas en el primer Acuerdo de Basilea o de mil novecientos ochenta y ocho son de enorme importancia.
